ESPECULAÇÕES,ANO,QUANTIDADE
ES1,1996,1
ES1,1998,1
ES1,2009,1
ES1,2016,3
ES1,2017,1
ES1,2019,3
ES1,2020,4
ES1,2021,14
ES1,2022,16
ES1,2023,2
ES10,1994,1
ES10,2019,1
ES10,2020,2
ES10,2021,4
ES10,2022,3
ES2,2016,3
ES2,2018,1
ES2,2019,2
ES2,2022,5
ES2,2023,1
ES3,1994,1
ES3,1995,1
ES3,1996,1
ES3,2016,1
ES3,2017,2
ES3,2018,2
ES3,2019,3
ES3,2020,2
ES3,2021,13
ES3,2022,11
ES3,2023,2
ES4,2007,1
ES4,2016,3
ES4,2018,4
ES4,2019,1
ES4,2020,2
ES4,2021,9
ES4,2022,8
ES4,2023,6
ES5,2016,1
ES5,2017,1
ES5,2018,2
ES5,2019,3
ES5,2020,4
ES5,2021,7
ES5,2022,8
ES5,2023,1
ES6,2022,1
ES6,2023,1
ES7,2021,1
ES8,2020,1
ES8,2021,1
ES9,1995,1
ES9,1996,1
ES9,2019,1
ES9,2021,3
ES9,2022,2
