ANO,RISCOS,QUANTIDADE
1994,R11,1
1994,R4,1
1995,R10,1
1995,R4,1
1996,R1,1
1996,R10,1
1996,R2,1
1996,R4,1
1998,R1,1
2007,R5,1
2009,R1,1
2009,R8,1
2013,R1,1
2016,R1,4
2016,R10,1
2016,R2,2
2016,R3,3
2016,R4,2
2016,R5,3
2016,R9,1
2017,R1,1
2017,R10,1
2017,R2,1
2017,R3,1
2017,R4,2
2017,R6,1
2018,R1,1
2018,R11,2
2018,R3,1
2018,R4,3
2018,R5,4
2018,R6,1
2019,R1,3
2019,R10,1
2019,R11,1
2019,R3,2
2019,R4,3
2019,R5,1
2019,R6,3
2020,R1,5
2020,R11,3
2020,R4,2
2020,R5,2
2020,R6,4
2020,R9,1
2021,R1,14
2021,R10,3
2021,R11,4
2021,R2,7
2021,R4,15
2021,R5,9
2021,R6,6
2021,R7,1
2021,R8,1
2021,R9,2
2022,R1,17
2022,R10,2
2022,R11,5
2022,R2,8
2022,R3,5
2022,R4,12
2022,R5,7
2022,R6,7
2022,R7,1
2022,R9,1
2023,R1,8
2023,R11,1
2023,R2,6
2023,R3,4
2023,R4,8
2023,R5,6
2023,R6,7
