ANO,TITULO,SOLUÇÃO,PRESENTE
1994,"O que você ainda não sabe sobre violência contra a criança ano 1, nº 4, ago 1994, pág 78-80",S1,1
1995,"Grávidas na Adolescência Difícil Enfrentar essa Barra ano 2, nº 24, nov 1995, p 18-22",S1,1
1996,"Tentativa de suicídio como um grito de socorro ano 3, nº 35, out 1996, p 89-90. primeira reportagem sobre suicídio",S1,1
2007,"Quando a brincadeira perde a graça, ano x, nº 161, abr 2007",S1,1
2009,"O que será que ele tem? Ano x, nº 190, set 2009, p 72-75",S1,1
2013,Novo livro ajuda pais a identificarem transtornos de comportamento nos filhos,S1,1
2016,Precisamos falar sobre suicídio de crianças e adolescentes 26 set 2016,S1,1
2016,"Menina de 11 anos que sobreviveu a câncer no cérebro se mata por sofrer bullying na escola, 2 nov 2016",S1,1
2016,"O Menino que Ela sempre Quis Ser (impresso)/Menino no corpo de menina: mãe fala sobre filho transgênero (digital), 1 ago 2016",S1,1
2017,"Suicídio, a baleia azul e saúde emocional: por que é importante falar de sentimentos com as crianças, 25 abr 2017",S1,1
2017,"Dar palmadas em crianças pode levar a transtornos mentais, diz estudo",S1,1
2018,Mãe precisa monitorar filha de 10 anos por risco de suicídio depois de cyberbullying,S1,1
2018,Mãe encontra o filho morto no quintal de casa,S1,1
2018,"A história por trás do livro de Ana Maria Machado, que gerou a polêmica do engasgo com a maçã (10 set 2018)",S1,1
2018,Apple anuncia novos recursos para pais controlarem o uso de aparelhos eletrônicos (11 Jun 2018),S1,1
2018,"Videogame pode ajudar a promover a empatia, revela estudo (16 out 2018)",S1,1
2018,"150 milhões de adolescentes sofrem bullying nas escolas, aponta novo relatório do Unicef (12 set 2018)",S1,1
2019,"“Após suicídio do pai, meu filho fica trancado no quarto, mas não tenho como pagar tratamento”, diz mãe (25 out 2019)",S1,1
2019,"""Domingo à noite, ela teve um ataque de ansiedade. Segunda-feira desenhou isso na escola"", diz mãe (25 Fev 2019)",S1,1
2019,Escola irlandesa divulga novo alerta ao detectar imagens de Momo em meio a vídeos infantis (27 fev 2019),S1,1
2019,Criador de ‘Momo’ diz que crianças não precisam mais ter medo porque destruiu a escultura  (4 mar 2019),S1,1
2019,"Filhos de mães mais rigorosas tendem a ser alcoólatras, sugere estudo (13 nov 2019)",S1,1
2019,Precisamos mesmo de estudos comprovando que a palmada não é eficaz?  (18 nov 2019),S1,1
2019,Mãe recria chá revelação para anunciar que filho é transgênero e fotos viralizam ( 10 fev 2019),S1,1
2019,"""Eles estão mais felizes do que nunca"", diz pai sobre os dois filhos transgênero (30 jul 2019)Precisamos falar de suicídio infantil"", diz o ator Lázaro Ramos (5 mai 2020)/Precisamos falar sobre suicídio infantil, coluna Lázaro Ramos, ano 27, nº 316, mar 2020, p 88",S1,1
2020,"Precisamos falar de suicídio infantil"", diz o ator Lázaro Ramos (5 mai 2020)/Precisamos falar sobre suicídio infantil, coluna Lázaro Ramos, ano 27, nº 316, mar 2020, p 88",S1,1
2020,‘Homem Pateta’: Polícia faz alerta a pais sobre perfil que pode induzir suicídio (24 jun 2020),S1,1
2020,Menino de 9 anos que cogitou suicídio por causa de bullying recebe viagem para Disney de comediante 21 fev 2020/Mãe compartilha vídeo comovente do filho de 9 anos para mostrar os resultados devastadores do bullying   21 fev 2020/Lembra dele? Veja como está menino anão que comoveu a web com vídeo sobre bullying 19 Out 2020,S1,1
2020,"Bullying: Após filha de 12 anos se suicidar, mãe faz desabafo: ""por mais difícil que seja ouvir e dizer, ela não está mais sofrendo e não está mais com medo"" 24 out 2020",S1,1
2020,"EUA: Menino de 11 anos morre após ter atirado em si mesmo durante aula online, dizem investigadores (4 dez 2020)",S1,1
2020,‘Homem Pateta’: Veja dicas para proteger seus filhos de perfis falsos que incitam violência na web (25 jun 2020)/Polícia identifica adolescente suspeito de ser 'Homem Pateta' na web  (15 jul 2020),S1,1
2020,Crescer é destaque no Encontro com Fátima com matéria sobre perfil que aterroriza crianças na internet 13 Jul 2020  (13 jul 2020),S1,1
2020,Mãe com alopécia exibe careca para incentivar filha com mesma condição (20 Jul 2020),S1,1
2020,Especialista alerta sobre vídeo violento circulando 'camuflado' no Tik Tok 08 Set 2020,S1,1
2021,Tentativas de suicídio entre adolescentes aumentaram mais de 50% na pandemia (18 jun 2021),S1,1
2021,"Suicídio entre crianças e adolescentes: ""Elas sempre dão sinais de que algo não vai bem"", alertam especialistas  (26 mai 2021)",S1,1
2021,"Menina que tentou suicídio aos 8 anos posta vídeo com mensagem inspiradora: ‘Se você está sofrendo bullyng, conte a um adulto’ 24 ago 2021",S1,1
2021,Distrito escolar deverá indenizar em US$ 3 milhões família de menino que cometeu suicídio após bullying 7 jun 2021,S1,1
2021,"Após bullying na escola, menina autista comete suicídio: ""Ninguém deveria enterrar um filho"", desabafa mãe 2 dez 2021",S1,1
2021,Mãe compartilha vídeos de bullying sofrido pela filha após menina tirar a própria vida 2 set 2021,S1,1
2021,"""Para os adolescentes, é impossível viver em um mundo onde não são aceitos"", alerta psicanalista após morte do filho de Walkyria Santos 4 ago 2021",S1,1
2021,"""Protejam seus filhos"", pede mãe que apagou redes da filha, após morte de filho de Walkyria 4 ago 2021",S1,1
2021,"Automutilação infantil: sinais podem aparecer anos antes, mostra estudo 16 jun 2021",S1,1
2021,"Problemas de saúde mental em meninas foram impulsionados pelo uso frequente da internet na pandemia, diz pesquisa 21 set 2021",S1,1
2021,"""De 30 a 40% das crianças em idade escolar vão sofrer bullying, mas a maioria não vai cometer crimes"", dizem especialistas 6 mai 2021",S1,1
2021,"Menina de 10 anos morre em desafio da rede social, na Itália: ""Não sabíamos de nada"", disse o pai 22 jan 2021",S1,1
2022,“Ele tinha 12 anos”: menino tira a própria vida por não aguentar mais sofrer bullying e mãe escreve texto de partir o coração 24 fev 2022,S1,1
2022,Adolescente encontrada sem vida em escola esta semana reacende o alerta para a saúde mental dos jovens 17 jun 2022,S1,1
2022,Projeto de lei pretende criar política nacional de combate ao suicídio entre crianças e adolescentes 19 jul 2022/Aumenta o número de crianças e adolescentes com pensamentos suicidas 14 nov 2022,S1,1
2022,Menina de 12 anos tenta suicídio duas vezes e pais culpam escola 31 jan 2022,S1,1
2022,Menina de 8 anos tenta tirar a própria vida na Colômbia 2 dez 2022,S1,1
2022,"Número de jovens que sofrem com problemas de saúde mental dobra em 15 anos, diz estudo 23 nov 2022",S1,1
2022,Como saber se meu filho está sofrendo bullying? 20 out 2022,S1,1
2022,"""Nossos filhos precisam saber que nós sempre estaremos de braços abertos para acolher"" Thaís Vilarinho - Mãe fora da caixa 15 out 2022",S1,1
2022,"Menina de 12 anos atira em si mesma após atingir o pai, nos EUA 26 set 2022",S1,1
2022,Pais contam como é ter uma criança transgênero e o que aprenderam sobre o amor 21 dez 2022,S1,1
2022,Como proteger as crianças dos perigos na internet 6 set 2022,S1,1
2022,Bullying: pais se revoltam após filha ser empurrada de escada na escola e agressores sofrerem ‘punições mínimas’ 14 mar 2022,S1,1
2022,"Distúrbios alimentares entre meninas adolescentes aumentaram durante a pandemia, aponta estudo do CDC 03 mar 2022",S1,1
2022,"Lista de espera para crianças que precisam de ajuda com transtornos alimentares bate recorde, na Inglaterra 11 fev 2022",S1,1
2022,79% das vítimas de estupro no Disque 100 são crianças e adolescentes 06 jun 2022,S1,1
2022,Homem trans fala sobre dar à luz: “uma das coisas mais masculinas que já fiz” 06 jan 2022,S1,1
2022,"Crianças trans têm três vezes mais chances de lidar com problemas de saúde mental, diz estudo 25 jul 2022",S1,1
2022,"""Nosso mundo acabou ali"", lamenta mãe de menina de 13 anos do RJ, que tirou a própria vida há um ano 8 jul 2022",S1,1
2023,"Menina de 11 anos comete suicídio em escola nos EUA e mãe desabafa: ""Nunca pensei que aquele dia acabaria daquele jeito"" 08 abr 2023",S1,1
2023,Família pede por justiça após adolescente trans ser vítima de bullying na escola e tirar a própria vida 25 jul 2023,S1,1
2023,"""As redes sociais tiveram uma parcela de culpa na morte da minha filha"", desabafa mãe/22 maio 2023",S1,1
2023,Posso bater no meu filho? Veja 10 respostas sobre palmada 3 jan 2023,S1,1
2023,"""Converse sobre bullying com o seu filho"", aconselha mãe de menina alvo de violência 15 ago 2023",S1,1
2023,Bullying: pais processam distrito escolar após filha de 12 anos tirar a própria vida e chegam a acordo de R$ 43 milhões 29 jul 2023,S1,1
2023,"Pai pede por justiça após caso de bullying: ""Meu filho se foi, alguém tem de pagar por isso"" 9 jun 2023",S1,1
2023,"Menino que tinha o sonho de viajar tem suas cinzas espalhadas pelo mundo: ""Levá-lo nesta jornada final traz conforto e esperança"", diz mãe 11 jun 2023",S1,1
2023,"Promessa no esporte, menino de 13 anos deixa vídeo antes de tirar a própria vida: ""Sou perseguido todos os dias"" 03 abr 2023",S1,1
1995,"Grávidas na Adolescência Difícil Enfrentar essa Barra ano 2, nº 24, nov 1995, p 18-22",S2,1
2007,"Quando a brincadeira perde a graça, ano x, nº 161, abr 2007",S2,1
2009,"O que será que ele tem? Ano x, nº 190, set 2009, p 72-75",S2,1
2013,Novo livro ajuda pais a identificarem transtornos de comportamento nos filhos,S2,1
2016,Precisamos falar sobre suicídio de crianças e adolescentes 26 set 2016,S2,1
2018,"""Meu bebê se matou"", diz mãe de menino de 9 anos que cometeu suicídio depois de sofrer bullying",S2,1
2018,"150 milhões de adolescentes sofrem bullying nas escolas, aponta novo relatório do Unicef (12 set 2018)",S2,1
2021,"Suicídio entre crianças e adolescentes: ""Elas sempre dão sinais de que algo não vai bem"", alertam especialistas  (26 mai 2021)",S2,1
2021,"Após bullying na escola, menina autista comete suicídio: ""Ninguém deveria enterrar um filho"", desabafa mãe 2 dez 2021",S2,1
2021,"Automutilação infantil: sinais podem aparecer anos antes, mostra estudo 16 jun 2021",S2,1
2021,"Problemas de saúde mental em meninas foram impulsionados pelo uso frequente da internet na pandemia, diz pesquisa 21 set 2021",S2,1
2021,"""De 30 a 40% das crianças em idade escolar vão sofrer bullying, mas a maioria não vai cometer crimes"", dizem especialistas 6 mai 2021",S2,1
2022,Adolescente encontrada sem vida em escola esta semana reacende o alerta para a saúde mental dos jovens 17 jun 2022,S2,1
2022,Projeto de lei pretende criar política nacional de combate ao suicídio entre crianças e adolescentes 19 jul 2022/Aumenta o número de crianças e adolescentes com pensamentos suicidas 14 nov 2022,S2,1
2022,Pediatras recomendam que adolescentes acima de 12 anos passem por avaliações para rastrear risco de suicídio 24 jun 2022,S2,1
2022,"Número de jovens que sofrem com problemas de saúde mental dobra em 15 anos, diz estudo 23 nov 2022",S2,1
